"This is the genealogy of Jesus the Messiah the son of David, the son of Abraham","Registro genealógico de Jesucristo, hijo de David y de Abraham","Buch des Geschlechts Jesu Christi, des Sohnes Davids, des Sohnes Abrahams."
"He warned them not to tell others about him.","pero les ordenó que no dijeran quién era él.","Und er bedrohte sie, daß sie ihn nicht offenbar machten."
"Then they brought him a demon-possessed man who was blind and mute, and Jesus healed him, so that he could both talk and see.","Después de eso llevaron ante Jesús un endemoniado que estaba ciego y mudo, entonces él lo sanó y pudo ver y hablar.","Dann wurde ein Besessener zu ihm gebracht, blind und stumm; und er heilte ihn, so daß der Blinde und Stumme redete und sah."
"While Jesus was still talking to the crowd, his mother and brothers stood outside, wanting to speak to him.","Mientras Jesús hablaba a la multitud, se presentaron su madre y sus hermanos. Se quedaron afuera y deseaban hablar con él.","Als er aber noch zu den Volksmengen redete, siehe, da standen seine Mutter und seine Brüder draußen und suchten ihn zu sprechen."
"That same day Jesus went out of the house and sat by the lake.","Ese mismo día salió Jesús de la casa y se sentó a la orilla del lago.","An jenem Tage aber ging Jesus aus dem Hause hinaus und setzte sich an den See."
"Such large crowds gathered around him that he got into a boat and sat in it, while all the people stood on the shore.","La multitud que se reunió para verlo era tan grande que él tuvo que subir a una barca donde se sentó mientras toda la gente estaba de pie en la orilla. ","Und es versammelten sich große Volksmengen zu ihm, so daß er in ein Schiff stieg und sich setzte; und die ganze Volksmenge stand am Ufer."
"When Jesus had finished these parables, he moved on from there.","Cuando Jesús terminó de contar estas parábolas, se fue de allí.","Und es geschah, als Jesus diese Gleichnisse vollendet hatte, ging er von dannen hinweg."
"And he did not do many miracles there because of their lack of faith.","Y por la falta de fe de ellos, no hizo allí muchos milagros.","Und er tat daselbst nicht viele Wunderwerke wegen ihres Unglaubens."
"Immediately Jesus made the disciples get into the boat and go on ahead of him to the other side, while he dismissed the crowd.","Enseguida Jesús hizo que los discípulos subieran a la barca y se adelantaran al otro lado, mientras él despedía a la multitud."," Und alsbald nötigte er die Jünger, in das Schiff zu steigen und ihm an das jenseitige Ufer vorauszufahren, bis er die Volksmengen entlassen habe."
"And when they climbed into the boat, the wind died down.","Cuando subieron a la barca, el viento se calmó.","Und als sie in das Schiff gestiegen waren, legte sich der Wind."
"When they had crossed over, they landed at Gennesaret.","Después de cruzar el lago, desembarcaron en Genesaret.","Und als sie hinübergefahren waren, kamen sie in das Land Genezareth."
"Leaving that place, Jesus withdrew to the region of Tyre and Sidon.","Partiendo de allí, Jesús se retiró a la región de Tiro y Sidón.","Und Jesus ging aus von dannen und entwich in die Gegenden von Tyrus und Sidon."
"Jesus left there and went along the Sea of Galilee. Then he went up on a mountainside and sat down.","Salió Jesús de allí y llegó a orillas del lago de Galilea. Luego subió a la montaña y se sentó.","Und Jesus ging von dannen hinweg und kam an den See von Galiläa; und als er auf den Berg gestiegen war, setzte er sich daselbst."
"He told the crowd to sit down on the ground.","Luego Jesús mandó que la gente se sentara en el suelo.","Und er gebot der Volksmenge, sich auf die Erde zu lagern."
"The number of those who ate was four thousand men, besides women and children.","Los que comieron eran cuatro mil hombres, sin contar a las mujeres y a los niños.","Die aber aßen, waren viertausend Männer, ohne Weiber und Kindlein."
"After Jesus had sent the crowd away, he got into the boat and went to the vicinity of Magadan.","Después de despedir a la gente, Jesús subió a la barca y se fue a la región de Magadán.","Und als er die Volksmengen entlassen hatte, stieg er in das Schiff und kam in das Gebiet von Magada."
